id,review_id,user_id,nickname,contents,rating,updated_at,place_id,place_name,platform,task_id
1,12391499,895103638,wki,"알쓰가 가도 재밌는 곳. 알쓰가 가도 주눅들지 않는 곳.. 사장님 엄청 젠틀하시고 무알콜 종류도 다른 샵에 비해 다양함. 심지어 안주류도 퀄 좋은 치즈들이랑 그린올리브, 사할리 넛츠까지 있어서 제기준 완벽해요ㅋㅋ 오래 계셔 주시길",5,2025-03-24 15:41:06,1247290145,바틀드,kakao,7cd524fe-49aa-4db9-8e03-3e9f01390854
2,11558801,1093543866,도호,급하게 친구 집들이 선물 사야해서 들렀는데 되게 좋은 것 추천해주셔서 기분 좋았습니다.,5,2024-12-04 16:33:16,1247290145,바틀드,kakao,7cd524fe-49aa-4db9-8e03-3e9f01390854
3,11412250,1042191437,jany,"와인을 사서 친구들과 맛있게 먹고갔어요~ 사장님이 소믈리에셔서 와인 이야기 듣는 것도 재밌었습니다. 와인, 위스키 사신다면 바틀드 추천해요!!",5,2024-11-12 16:05:54,1247290145,바틀드,kakao,7cd524fe-49aa-4db9-8e03-3e9f01390854
4,9781735,901787445,Marco,"가격도 좋고 간단하게 와인 한잔하기 좋은 안주 메뉴도 있어요!
사장님도 무척 친절하심",5,2024-03-23 21:36:25,1247290145,바틀드,kakao,7cd524fe-49aa-4db9-8e03-3e9f01390854
5,9208850,568921716,정통,술 종류가 많고 친절한 설명을 들으며 구매할 수 있습니다. 강남 부근에서 독보적인 매장같아요.와인 ,5,2023-12-26 14:01:43,1247290145,바틀드,kakao,7cd524fe-49aa-4db9-8e03-3e9f01390854
6,9193230,770062904,강,"저렴한 술 사면 손님이 꼽주는곳!
술 고르는데 요즘도 그런 똥물 먹는 사람이 있냐는 말 듣고 참 좋네요",1,2023-12-23 22:08:31,1247290145,바틀드,kakao,7cd524fe-49aa-4db9-8e03-3e9f01390854
7,9175658,2346040452,네에그로오니이,"가격도 좋은데 자주 가기도 좋은 위치네요
마실 수 있다니 다음에는 마시고 갈게요
친절한 사장님 덕분에 맛있는 와인 잘 구해서 갑니다아!!",5,2023-12-20 19:46:16,1247290145,바틀드,kakao,7cd524fe-49aa-4db9-8e03-3e9f01390854
8,8922785,995328844,phantom,와인이나 여러 술을 사거나 마시는게 가능해서 좋아요! 간단한 안주도 있네요.,5,2023-11-08 17:17:59,1247290145,바틀드,kakao,7cd524fe-49aa-4db9-8e03-3e9f01390854
9,8788490,726130792,Lin,,5,2023-10-18 17:02:24,1247290145,바틀드,kakao,7cd524fe-49aa-4db9-8e03-3e9f01390854
10,12608462,4227922569,강남터줏대감,평일도 웨이팅있어서 못가보다가 웨이팅 없다길래 바로 들어감. 2인부터 주문가능인데 양 겁나많음. 라면사리 추가 꼭 해야함. 셀프바 이용하긴 사람 많아서 좀 불편함. 볶음밥 까지 먹고싶었으나 양 많음 이슈로 포기. ,5,2025-04-23 19:52:30,95713992,장인닭갈비 강남점,kakao,96fb2cc5-f837-4cf7-87b9-1f4e5351e539
11,12332376,686988050,별점조작 시 계속 업데이트,"강남, 남포, 종로, 신림, 대학로, 명동, 건대점을 4/21 하루만에 다녀오신 MI 님. 대단하십니다!",1,2025-04-23 17:30:43,95713992,장인닭갈비 강남점,kakao,96fb2cc5-f837-4cf7-87b9-1f4e5351e539
12,12570126,3916137618,유웅,푸짐한 양으로 갈때마다 맛있게 먹는 닭갈비 맛집인 장인닭갈비 강남점! 치즈닭갈비는 꼭 드셔야해요! 고소한 치즈와 함께 맛있는 닭갈비를 먹으면 더 좋은 장인닭갈비 강남점! ,5,2025-04-18 14:53:19,95713992,장인닭갈비 강남점,kakao,96fb2cc5-f837-4cf7-87b9-1f4e5351e539
13,12562727,1503893592,쩡스^_^v,"닭갈비 양도 푸짐해서 좋았고
너무 맛있어서 볶음밥까지 먹었어요
다음에도 재방문 할꺼예요",5,2025-04-17 13:30:55,95713992,장인닭갈비 강남점,kakao,96fb2cc5-f837-4cf7-87b9-1f4e5351e539
14,11859936,3800623551,Qwe1,셀프바 이용해서 푸짐하게 이용가능해서 좋아요~ㅎㅎㅎ닭갈비 양념맛이 제가 좋아하는 스타일이라서 너무 맛있어요,5,2025-04-16 14:02:29,95713992,장인닭갈비 강남점,kakao,96fb2cc5-f837-4cf7-87b9-1f4e5351e539
15,12468409,1837568369,MI,닭갈비에 추가할 수 있는 사리들이 있어서 더 맛있게 먹을 수 있어서 좋은 것 같아요,5,2025-04-15 09:40:20,95713992,장인닭갈비 강남점,kakao,96fb2cc5-f837-4cf7-87b9-1f4e5351e539
16,12548155,2614374692,으나,"양념이 너무맛잇고 치즈에얹어먹으먼 더더욱 맛잇어요!
마지막 볶음밥 꼭 비벼드세용 😊",5,2025-04-15 07:40:01,95713992,장인닭갈비 강남점,kakao,96fb2cc5-f837-4cf7-87b9-1f4e5351e539
17,12544387,2056873122,다영,"솔직히 가성비로는 좋은거 같아요 ! 
쌈채소 무한리필인데다가 닭갈비 볶음밥까지 맛있어용 ㅎㅎ 치즈추가 필수 ‼️
닭갈비 오랜만에 먹는데 옛날 추억 새록새록 ",5,2025-04-14 15:48:31,95713992,장인닭갈비 강남점,kakao,96fb2cc5-f837-4cf7-87b9-1f4e5351e539
18,11952534,999060885,강윤정(콩알),"닭갈비랑 어울리는 치즈 듬뿍 들어가서 같이먹으니까 넘 맛있어요!
볶음밥까지 싹싹 먹었네요^^",5,2025-04-13 04:09:09,95713992,장인닭갈비 강남점,kakao,96fb2cc5-f837-4cf7-87b9-1f4e5351e539
19,12532812,1463914302,ㅎㅎ,"너무 불친절해요... 이런 거에 예민한 편도 아닌데 장사를 너무 가볍게 하는 것 같아요. 손님한테 설명도 없이 대충 주문서 던지듯이 주고 여러모로 기분이 나쁜 식사였네요. 리뷰도 이벤트로 조작하는 거니까 믿거하세요. 메뉴 선정하기 귀찮은 남자분들 덕분에 장사 유지 되는 곳 같은데, 바뀌셔야 할 것 같네요 진심.",1,2025-04-12 23:08:29,95713992,장인닭갈비 강남점,kakao,96fb2cc5-f837-4cf7-87b9-1f4e5351e539
20,12105711,2850973901,구소애,"강남역맛집 장인닭갈비 강남점만의
특별한 레시피로 만든 장인볶음밥은 꼭 드셔야합니다ㅎ",5,2025-04-11 18:08:24,95713992,장인닭갈비 강남점,kakao,96fb2cc5-f837-4cf7-87b9-1f4e5351e539
21,11566976,1221741371,김유진,점심시간에 방문했었는데 기대보다 넘맛있어서 놀랬어요~닭고기도 너무 부드럽고 양념간도 딱적당해서 무조건 재방문각이에요^^,5,2025-04-10 11:16:34,95713992,장인닭갈비 강남점,kakao,96fb2cc5-f837-4cf7-87b9-1f4e5351e539
22,11496754,2198809483,김성림,"가족들과 함께 먹기 좋은 양과 맛.
음식 빨리 나와서 좋고 
셀프바에서 쌈 채소도 편하게 가져올수 있어서 좋아요.",5,2025-04-09 08:19:08,95713992,장인닭갈비 강남점,kakao,96fb2cc5-f837-4cf7-87b9-1f4e5351e539
